"Airport.Code","Airport.Name","Time.Label","Month","Time.Month Name","Time.Year","Statistics.# of Delays.Carrier","Statistics.# of Delays.Late Aircraft","Statistics.# of Delays.National Aviation System","Statistics.# of Delays.Security","Statistics.# of Delays.Weather","Statistics.Carriers.Names","Statistics.Carriers.Total","Cancelled","Statistics.Flights.Delayed","Statistics.Flights.Diverted","Statistics.Flights.On Time","Statistics.Flights.Total","Statistics.Minutes Delayed.Carrier","Statistics.Minutes Delayed.Late Aircraft","Statistics.Minutes Delayed.National Aviation System","Statistics.Minutes Delayed.Security","Statistics.Minutes Delayed.Total","Statistics.Minutes Delayed.Weather"
"PHL","Philadelphia, PA: Philadelphia International","2005/10","10","October","2005","370","559","1718","1","138","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","279","2788","21","7101","10189","18472","37140","101597","169","169906","12528"
"PHX","Phoenix, AZ: Phoenix Sky Harbor International","2005/10","10","October","2005","632","1002","519","10","24","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","16","122","2186","7","12489","14804","31023","46173","15820","302","94927","1609"
"SAN","San Diego, CA: San Diego International","2005/10","10","October","2005","478","495","308","3","37","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","16","48","1321","5","6267","7641","19788","21984","9451","124","53688","2341"
"SEA","Seattle, WA: Seattle/Tacoma International","2005/10","10","October","2005","491","557","527","4","12","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","14","87","1590","6","7537","9220","25305","30838","16183","181","73680","1173"
"SFO","San Francisco, CA: San Francisco International","2005/10","10","October","2005","676","516","904","5","37","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","15","111","2134","5","8854","11104","30973","32199","44132","79","109836","2453"
"SLC","Salt Lake City, UT: Salt Lake City International","2005/10","10","October","2005","570","449","372","9","48","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.","12","150","1446","3","12363","13962","25504","19691","11724","476","60784","3389"
"TPA","Tampa, FL: Tampa International","2005/10","10","October","2005","330","383","375","5","18","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","15","116","1113","1","5132","6362","15399","20210","11302","269","48118","938"
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","2005/11","11","November","2005","1466","1260","4100","3","314","American Airlines Inc.,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","14","399","7140","16","25508","33063","98262","87043","238063","207","447832","24257"
"BOS","Boston, MA: Logan International","2005/11","11","November","2005","482","609","1082","1","62","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","14","127","2235","22","7839","10223","23820","35214","43301","48","106675","4292"
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","2005/11","11","November","2005","373","621","316","1","35","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","14","51","1343","11","7148","8553","16416","33183","11600","28","64042","2815"
"CLT","Charlotte, NC: Charlotte Douglas International","2005/11","11","November","2005","361","345","631","0","56","American Airlines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","11","55","1393","3","7015","8466","15578","18301","20517","0","58048","3652"
"DCA","Washington, DC: Ronald Reagan Washington National","2005/11","11","November","2005","382","386","546","3","44","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","15","97","1363","34","6925","8419","19071","21233","19655","77","62408","2372"
"DEN","Denver, CO: Denver International","2005/11","11","November","2005","692","590","576","4","49","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","15","103","1913","2","13299","15317","32958","29347","16547","161","82485","3472"
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","2005/11","11","November","2005","878","1324","1417","2","97","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","14","140","3714","32","21008","24894","57764","73221","52026","39","189872","6822"
"DTW","Detroit, MI: Detroit Metro Wayne County","2005/11","11","November","2005","641","600","861","2","81","American Airlines Inc.,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","15","104","2183","6","7969","10262","37179","32605","28936","54","105569","6795"
"EWR","Newark, NJ: Newark Liberty International","2005/11","11","November","2005","359","732","3562","6","122","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","14","251","4782","29","7796","12858","22761","47996","222076","137","302837","9867"
"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","2005/11","11","November","2005","358","401","489","2","18","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","25","1268","25","4614","5932","16098","22987","16044","76","56262","1057"
"IAD","Washington, DC: Washington Dulles International","2005/11","11","November","2005","261","307","435","2","18","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","15","60","1021","22","6305","7408","15385","22699","14651","56","53799","1008"
"IAH","Houston, TX: George Bush Intercontinental/Houston","2005/11","11","November","2005","499","682","1332","9","51","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","12","68","2572","38","14318","16996","33669","37095","47588","450","124102","5300"
"JFK","New York, NY: John F. Kennedy International","2005/11","11","November","2005","484","619","976","7","79","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.","11","55","2165","28","6199","8447","25500","31663","33112","137","94582","4170"
"LAS","Las Vegas, NV: McCarran International","2005/11","11","November","2005","658","876","670","11","24","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","17","70","2239","8","11581","13898","30020","38024","19448","291","89049","1266"
"LAX","Los Angeles, CA: Los Angeles International","2005/11","11","November","2005","1011","881","907","6","74","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","16","148","2877","2","15590","18617","45404","43179","27969","109","120624","3963"
"LGA","New York, NY: LaGuardia","2005/11","11","November","2005","380","507","2623","1","165","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","14","231","3677","72","6384","10364","21346","32260","139141","15","203798","11036"
"MCO","Orlando, FL: Orlando International","2005/11","11","November","2005","547","601","714","3","35","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","18","27","1897","6","8107","10037","23889","34292","20778","102","81198","2137"
"MDW","Chicago, IL: Chicago Midway International","2005/11","11","November","2005","272","483","307","6","45","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,Southwest Airlines Co.","12","68","1109","10","6538","7725","11788","22472","11608","142","48922","2912"
"MIA","Miami, FL: Miami International","2005/11","11","November","2005","327","253","615","2","20","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","12","19","1216","5","4244","5484","16780","14545","18188","118","50835","1204"
"MSP","Minneapolis, MN: Minneapolis-St Paul International","2005/11","11","November","2005","566","555","811","3","63","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","15","123","1997","7","8095","10222","35243","30584","23696","95","94914","5296"
"ORD","Chicago, IL: Chicago O'Hare International","2005/11","11","November","2005","1096","1602","3646","3","118","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","13","448","6466","15","21524","28453","68777","100887","206610","128","383760","7358"
"PDX","Portland, OR: Portland International","2005/11","11","November","2005","319","345","386","7","21","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.","12","55","1076","25","3416","4572","15283","17163","11776","202","45591","1167"
"PHL","Philadelphia, PA: Philadelphia International","2005/11","11","November","2005","346","453","816","1","57","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","64","1668","11","7388","9131","15200","26921","34853","30","81706","4702"
"PHX","Phoenix, AZ: Phoenix Sky Harbor International","2005/11","11","November","2005","581","701","449","3","33","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","16","112","1769","4","12562","14447","32472","32054","13962","101","80553","1964"
"SAN","San Diego, CA: San Diego International","2005/11","11","November","2005","389","327","238","0","22","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","15","77","976","72","6114","7239","14844","14822","6803","12","38247","1766"
"SEA","Seattle, WA: Seattle/Tacoma International","2005/11","11","November","2005","599","570","851","6","36","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","14","83","2061","19","6227","8390","29206","31378","25852","180","89632","3016"
"SFO","San Francisco, CA: San Francisco International","2005/11","11","November","2005","674","473","1284","6","56","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","15","153","2495","15","7921","10584","33260","30527","63572","199","131876","4318"
"SLC","Salt Lake City, UT: Salt Lake City International","2005/11","11","November","2005","650","469","735","10","83","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.","12","133","1947","5","10885","12970","27832","21458","21904","305","75354","3855"
"TPA","Tampa, FL: Tampa International","2005/11","11","November","2005","336","406","419","3","21","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","15","12","1187","6","5080","6285","14864","21845","12674","205","50743","1155"
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","2005/12","12","December","2005","2144","2336","4898","12","509","American Airlines Inc.,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","14","723","9899","18","22992","33632","130387","139313","255257","479","558590","33154"
"BOS","Boston, MA: Logan International","2005/12","12","December","2005","619","812","884","8","96","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","14","355","2420","24","7579","10378","32872","52244","45453","220","139209","8420"
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","2005/12","12","December","2005","544","811","430","3","59","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","13","116","1844","4","6936","8900","24473","43700","14884","65","86657","3535"
"CLT","Charlotte, NC: Charlotte Douglas International","2005/12","12","December","2005","513","502","776","4","55","American Airlines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","11","109","1851","7","6048","8015","22487","27793","26080","171","80211","3680"
"DCA","Washington, DC: Ronald Reagan Washington National","2005/12","12","December","2005","534","506","597","3","72","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","15","217","1712","6","6483","8418","26912","27619","20344","127","79971","4969"
"DEN","Denver, CO: Denver International","2005/12","12","December","2005","1623","1183","1333","11","145","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","15","164","4293","14","11933","16404","79791","73731","43131","249","206363","9461"
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","2005/12","12","December","2005","1119","2237","2271","13","260","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","15","510","5902","21","18952","25385","68635","119591","74949","427","278349","14747"
"DTW","Detroit, MI: Detroit Metro Wayne County","2005/12","12","December","2005","928","817","1118","14","116","American Airlines Inc.,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","16","140","2992","12","7213","10357","56929","45399","36150","374","146884","8032"
"EWR","Newark, NJ: Newark Liberty International","2005/12","12","December","2005","568","1312","3174","12","126","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","14","351","5194","12","7741","13298","37440","93123","165802","305","306457","9787"
"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","2005/12","12","December","2005","623","592","804","13","57","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","35","2090","14","4089","6228","26838","35497","27609","566","95012","4502"
"IAD","Washington, DC: Washington Dulles International","2005/12","12","December","2005","408","550","471","1","36","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","14","90","1466","4","5934","7494","22572","32991","14510","120","72899","2706"
"IAH","Houston, TX: George Bush Intercontinental/Houston","2005/12","12","December","2005","703","1297","2118","23","90","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","12","239","4230","92","13731","18292","42400","73151","103083","756","232444","13054"
"JFK","New York, NY: John F. Kennedy International","2005/12","12","December","2005","637","980","997","15","90","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.","11","104","2718","39","5397","8258","37966","65118","46190","753","158452","8425"
"LAS","Las Vegas, NV: McCarran International","2005/12","12","December","2005","1006","1513","1003","15","65","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","16","104","3600","9","10443","14156","46579","73284","32798","829","157443","3953"
"LAX","Los Angeles, CA: Los Angeles International","2005/12","12","December","2005","1562","1487","1253","18","144","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","17","275","4465","22","14449","19211","75450","87163","42535","563","215578","9867"
"LGA","New York, NY: LaGuardia","2005/12","12","December","2005","590","724","2132","6","194","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","14","312","3646","49","6583","10590","32435","47824","103204","238","195614","11913"
"MCO","Orlando, FL: Orlando International","2005/12","12","December","2005","862","925","1087","11","72","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","18","64","2959","12","7386","10421","41488","53939","37365","554","138378","5032"
"MDW","Chicago, IL: Chicago Midway International","2005/12","12","December","2005","393","695","584","5","61","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,Southwest Airlines Co.","11","219","1738","85","5922","7964","16879","35376","26375","117","83970","5223"
"MIA","Miami, FL: Miami International","2005/12","12","December","2005","573","408","906","14","93","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","12","55","1994","10","3779","5838","27961","24493","31970","356","90355","5575"
