Position,Location,Gender,Education,Experience (Years),Salary
ELK Engineer,Thiruvananthapuram,Male,B.Com,22,1350101
iOS,Gurugram,Male,B.Tech/B.E.,17,590891
iOS,New Delhi,Male,B.A,18,1571600
Maths Teacher,New Delhi,Male,B.Sc,13,906643
iOS,Mumbai,Female,B.Tech/B.E.,19,1426639
computer vision,Gurugram,Male,B.Sc,8,2476352
murex developer,Pune,Female,B.Com,8,2074569
ServiceNow,Hyderabad,Female,B.Sc,7,2442746
iOS,New Delhi,Male,Not Pursuing Graduation,16,1245950
Math,Gurugram,Male,B.Tech/B.E.,5,1124956
iOS,Pune,Female,B.Tech/B.E.,12,538726
Math,Gurugram,Female,B.Tech/B.E.,19,1857174
Apache Druid,Bengaluru,Male,B.Sc,7,685458
Apache Druid,Hyderabad,Male,B.Tech/B.E.,25,2164715
Apache Druid,Bengaluru,Female,BJMC,12,1550736
Apache Druid,New Delhi,NA,B.A,26,1063957
Apache Druid,Gurugram,Male,B.Tech/B.E.,8,1451934
Apache Druid,Pune,Male,course on computer concepts,10,725947
Apache Druid,Mumbai,Female,BCA,12,1937876
Apache Druid,Hyderabad,Female,B.Des.,11,1323255
Apache Druid,Ramnagar,Male,B.A,8,1554348
Apache Druid,New Delhi,Male,B.Com,13,911239
Computer vision,Gurugram,Male,B.Com,7,719084
Computer vision,Noida,Male,BCA,21,1303420
Computer vision,Bilaspur,Female,B.Tech/B.E.,19,622097
Maths Teacher,New Delhi,NA,B.Tech/B.E.,26,2148685
Maths Teacher,Pune,Female,B.Tech/B.E.,9,2285148
Maths Teacher,New Delhi,Male,B.Tech/B.E.,9,2231685
Maths Teacher,Noida,Female,B.Tech/B.E.,9,1809787
Python backend,Pune,Male,B.Tech/B.E.,5,1308447
Python backend,Hyderabad,Female,NA,21,1243886
Python backend,Mumbai,Male,B.A,6,849460
Python backend,Kolkata,Female,B.Tech/B.E.,11,1503553
Python backend,Navi Mumbai,Male,B.Tech/B.E.,13,1613714
Machine learning with CV,New Delhi,Female,B.Tech/B.E.,22,955784
Machine learning with CV,Guwahati,Female,B.Tech/B.E.,13,830091
Python backend,Bengaluru,Female,B.Tech/B.E.,23,1637964
Machine learning with CV,Bengaluru,Male,BCA,14,2097669
Advance Maths Teacher,Chennai,Female,B.Sc,25,1604583
Python backend,New Delhi,Female,B.Sc,14,1307961
Python backend,Bengaluru,Female,B.Tech/B.E.,13,1110995
Python Backend,Gurugram,Female,B.Tech/B.E.,16,1481301
Python Backend,New Delhi,Female,B.Sc,18,593143
Python Backend,Kolkata,Male,B.Com,12,1668246
Python Backend,Pune,Female,B.Tech/B.E.,19,1997729
Python Backend,New Delhi,Female,B.Tech/B.E.,19,946031
Python Backend,New Delhi,Male,B.A,27,2299845
Python Backend,New Delhi,Male,B.Tech/B.E.,24,628921
Python Backend,Nagpur,Female,B.Tech/B.E.,17,1349825
Python backend,Noida,Male,B.Tech/B.E.,26,590187
python backend,Mumbai,Male,B.Tech/B.E.,24,2039488
Python Backend,New Delhi,Male,B.A,17,807703
Machine learning with CV,Tiruchirapalli,Male,B.Tech/B.E.,10,1237274
Python backend,Mumbai,Male,B.A,26,2012853
Python backend,New Delhi,Male,BCA,12,1812522
Python backend,Pune,Male,B.Com,15,2052660
Python backend,Bengaluru,Male,B.Tech/B.E.,18,2021970
Python backend,Pune,Male,B.Sc,11,1940710
Python backend,Pune,Male,B.Tech/B.E.,28,2467284
ML (NLP),Noida,Male,B.A,23,998984
ML (NLP),Bengaluru,Male,B.Tech/B.E.,21,1828925
ML (NLP),Noida,Male,B.Tech/B.E.,25,874893
Machine learning with CV,Dindigul,Male,B.Com,10,1627814
Machine learning with CV,Noida,Male,B.Sc,27,1822578
Python backend,Mumbai,Female,B.Com,8,2128152
Python backend,Bengaluru,Male,B.Tech/B.E.,28,1765821
Python Backend,Siliguri,Male,BCA,10,2282619
Python Backend,Kolkata,Male,B.Sc,16,2304533
Python Backend,Hyderabad,Female,BCA,27,1818827
HR Data Analyst BA,Bengaluru,Male,B.Sc,26,2194840
Research Analyst,Mumbai,Female,B.Tech/B.E.,16,1110157
ServiceNow,New Delhi,Female,B.Sc,22,684974
Python Backend,New Delhi,Female,B.Tech/B.E.,12,508807
Python Backend,New Delhi,Male,BCA,25,987640
Python Backend,Noida,Female,BCA,25,1350620
Python Backend,Hyderabad,Male,B.PHARMACY,16,1864788
Python Backend,Gurugram,Male,B.Sc,25,1917240
Python Backend,"Noida, Delhi - Uttar Pradesh",Female,B.Tech/B.E.,6,2398653
Python Backend,Bengaluru,Male,B.Tech/B.E.,23,2467800
ServiceNow,Pune,Female,Diploma,10,583078
AWS Solution Architect,Mumbai,Female,B.A,12,897667
RPA Developer,Noida,Male,B.Sc,22,2120210
C and Linux,New Delhi,Female,B.Pharma,12,2258174
C and Linux,Navi Mumbai and pune - Maharashtra,Male,B.Sc,26,695215
Python Backend,Bengaluru,Male,B.Sc,7,1309959
Data Science,Lucknow,Male,BCA,9,901134
AWS Databricks,Ahmedabad,Male,B.B.A/ B.M.S,8,2320055
Hr data business analyst (BA),Noida,Male,BBM,7,846821
Data Science,Bengaluru,Male,B.Tech/B.E.,22,2406501
Data Science,New Delhi,Female,NA,15,948155
Research Analyst,Chennai,Male,BCA,23,815724
AWS Solution Architect,Jamshedpur,Female,B.Sc,5,562347
ServiceNow,Pune,Male,Diploma,10,1695745
Python Backend,"New Delhi, Delhi, NOIDA, Pune - Delhi",Male,BCA,25,2075236
Python Backend,New Delhi,Male,B.Tech/B.E.,14,714383
Python Backend,Bengaluru,Female,B.A,8,866821
C and Linux,Bengaluru,Male,B.Tech/B.E.,11,1189249
Data Science,Chennai,Female,B.Tech/B.E.,7,982171
C and Linux,Pune,Male,B.Tech/B.E.,20,706241
Research Analyst,Bengaluru,Female,B.Tech/B.E.,27,950664
"HR, BA, Data Science",Chennai,Male,B.Tech/B.E.,10,1800542
Python Backend,Noida,Male,B.Tech/B.E.,8,1672472
Python Backend,Mumbai,Male,B.Tech/B.E.,18,735354
Python Backend,New Delhi,Male,B.Tech/B.E.,6,1873456
Python Backend,Visakhapatnam,Male,B.Sc,26,1090154
IOS Developer,Mohali,Female,B.Sc,5,1004702
Python Backend,Bengaluru,Male,B.Sc,20,1038443
ServiceNow,Kolkata,Male,B.A,5,2420716
Python Backend,Bengaluru,Female,B.Com,11,506448
Python Backend,Kanpur,Male,B.Com,10,1856279
Computer Vision,Bengaluru,Female,B.Com,9,2102045
Data Science,Gurugram,Male,B.Sc,25,983770
Data Science+ ML,Lucknow,Male,B.Com,14,2409510
Research Analyst,Gurugram,Male,B.Tech/B.E.,12,1583798
Data Science,Nagpur,Female,B.Tech/B.E.,17,563857
Data Science,Bengaluru,Female,B.Tech/B.E.,13,964515
Hr data business analyst (BA),Nagpur,Male,B.Com,21,2208056
IOS Developer,Pune,Female,B.B.A/ B.M.S,27,2184996
ServiceNow,New Delhi,Male,B.Sc,12,2136054
Hr data business analyst (BA),New Delhi,Female,B.Tech/B.E.,6,1401004
Python Backend,New Delhi,Male,Diploma,22,1798024
Hr data business analyst (BA),Gudivada,Male,B.B.A/ B.M.S,15,1850543
Data Science+ Computer Vision,New Delhi,Male,BCA,21,1809087
python + data science,Siliguri,Male,B.Sc,11,693515
Data Science,nioda - Uttar Pradesh,Female,B.Tech/B.E.,10,1912952
Data Science,Noida,Female,B.Com,8,1006763
AWS Databricks,Mumbai,Female,B.Tech/B.E.,19,1702218
ELK Engineer+ Full Stack,New Delhi,Male,B.Com,19,2053249
Research Analyst,Hyderabad,Female,Mtech,10,2358138
RPA Developer,Pune,Male,B.A,20,663305
python with computer vision,New Delhi,Female,B.Tech/B.E.,25,1687870
Research Analyst,Noida,Male,B.Sc,19,562640
Data Engineer,Noida,Female,B.Tech/B.E.,14,1401598
Research Analyst,Gurugram,Male,B.Sc,21,1569168
IOS Developer,New Delhi,Male,B.Com,10,645893
Data Science,Jaipur,Female,B.Com,16,1160320
python + computer vision,Kolkata,Female,NA,15,1992681
Hr data business analyst (BA),Indore,Female,B.Tech/B.E.,23,1043098
ServiceNow,Bengaluru,Male,B.Sc,17,1355651
Data Science,Hyderabad,Female,B.Tech/B.E.,6,609875
Research Analyst,Mumbai,Male,B.Sc,21,2143293
python + data science,Noida,Male,BCA,13,1103643
Linux +C,Bilaspur,Female,B.Sc,21,1421251
Linux +C,New Delhi,Male,B.Tech/B.E.,22,1107541
AML Triage Analyst,Pune,Male,B.Tech/B.E.,16,2033087
Hr data business analyst (BA),New Delhi,Male,Diploma,15,905464
python + data science,Noida,Male,B.Tech/B.E.,7,1940059
Research Analyst,Pune,Female,BCA,22,2498153
Research Analyst,Hyderabad,Male,B.Tech/B.E.,25,518108
Research Analyst,"Mumbai, Maharashtra, pune - Maharashtra",Male,B.A,10,1094401
Research Analyst,Kolkata,Male,B.Tech/B.E.,26,2065523
Research Analyst,Navi Mumbai,Male,B.Tech/B.E.,12,1767340
Research Analyst,New Delhi,Female,B.A,7,1050585
Research Analyst,Guwahati,Female,B.Com,10,2297242
ServiceNow,Bengaluru,Male,B.Com,13,1941325
RPA Developer,Bengaluru,Female,Diploma,19,1679890
Snowflake Admin,Chennai,Male,B.Com,5,2222280
Big Data with GCP Architect,New Delhi,Female,BCA,21,1758952
Maths Teacher,Bengaluru,Female,B.A,6,819450
ServiceNow,Gurugram,Female,BCA,21,1376241
Maths Teacher,New Delhi,Male,B.Sc,20,2291033
RPA Developer,Kolkata,Male,B.Sc,16,1433340
Data Scientist,Pune,Male,BCA,9,987484
Maths Teacher,New Delhi,Male,Diploma,26,600888
Maths Teacher,New Delhi,Female,B.Sc,17,1574770
Maths Teacher,New Delhi,Female,B.Tech/B.E.,5,2178523
Maths Teacher,Nagpur,Male,LLB,24,1745912
Maths Teacher,Noida,Male,B.Com,6,2429463
Maths Teacher,Mumbai,Male,B.Com,16,1377692
Maths Teacher,New Delhi,Male,BCA,11,2306935
Control Assurance,Tiruchirapalli,Male,B.A,15,1483206
RPA Developer,Mumbai,Male,B.A,7,1416225
Maths Teacher,New Delhi,Male,BCA,16,1795672
ServiceNow,Pune,Male,B.Com,9,1861583
ServiceNow,Bengaluru,Male,B.Sc,18,2268086
snow flake + oracle cloud data architect,Pune,Male,B.Com,26,2318106
Research Anlyst,Pune,Female,Diploma,18,1478810
GCP ADMIN,Noida,Female,NA,25,1134824
Maths Teacher,Bengaluru,Male,B.Com,11,2256542
Data Engineer/Architect,Noida,Female,B.Com,25,1839196
IOS Developer,Dindigul,Male,B.Sc,23,2128724
BA+ Manual Testing,Noida,Male,B.Com,22,1088331
Maths Teacher,"Mumbai, Maharashtra - Maharashtra",Female,BCA,22,2430958
AWS solution Architect,Bengaluru,Female,B.Tech/B.E.,7,2120446
"C, C++ And Linux",Siliguri,Female,B.Tech/B.E.,28,2491581
Solution Architect,Kolkata,Male,B.Tech/B.E.,27,1681458
AWS databricks,Hyderabad,Male,B.Com,28,1439914
Maths Teacher,Bengaluru,Male,B.Tech/B.E.,22,1143507
Research Anlyst,Mumbai,Male,B.Tech/B.E.,22,2414016
Data Engineer/Anlystics,New Delhi,Female,B.Tech/B.E.,17,1201539
BA+ Manual Testing,New Delhi,Female,B.A,6,1520629
QA Automation Grafana,New Delhi,Female,BCA,27,2296055
GCP DATA Engineer,Noida,Male,B.Tech/B.E.,19,1150349
Data Engineer/Anlystics,Hyderabad,Male,B.Tech/B.E.,26,868460
Data Engineer/Anlystics,Gurugram,Female,BBA,20,838313
IOS developer,"Noida, Delhi - Uttar Pradesh",Male,B.Com,16,1194235
BA+ Manual Testing,Bengaluru,Male,B.Tech/B.E.,6,896461
math faculity,Pune,Male,B.A,7,2433968
Murex,Mumbai,Male,B.Sc,11,983993
Technical lead Data Engineer,Bengaluru,Male,BCA,28,1721396
QA Automation Grafana,Noida,Male,Diploma,10,2414234
API integration Apigee,Noida,Male,B.Tech/B.E.,14,1679716
HR Data BA,Noida,Male,B.Sc,19,1209687
IAM Test Analyst,Pune,Female,BCA,9,832604
Maths Teacher,Noida,Male,BCA,17,2331100
Servicenow SecOps,New Delhi,Female,B.Tech/B.E.,23,2138158
Computer Vision,Navi Mumbai and pune - Maharashtra,Male,B.Tech/B.E.,16,1167018
Maths Teacher,Bengaluru,Female,B.Com,15,980265
Maths Teacher,Lucknow,Male,Diploma,13,2325934
BA+ Manual Testing,Ahmedabad,Female,B.Tech/B.E.,20,647644
GCP Admin,Noida,Male,B.Tech/B.E.,8,874945
Production support,Bengaluru,Female,B.B.A/ B.M.S,14,536308
BA+ Manual Testing,New Delhi,Female,B.Sc,10,1832633
BA+ Manual Testing,Chennai,NA,B.A,16,1463718
Cloud security,Jamshedpur,Male,B.Tech/B.E.,17,2010112
GCP DATA Engineer,Pune,Male,BCA,27,997642
Cloud security,"New Delhi, Delhi, NOIDA, Pune - Delhi",Male,LLB,16,2372415
Maths Teacher,New Delhi,Male,B.Com,21,1976255
Maths Teacher,Bengaluru,Male,B.Com,15,1607290
Cloud security,Bengaluru,Male,B.Sc,22,1123952
Cloud security,Chennai,Female,B.A,13,2383915
GCP DATA Engineer,Pune,Female,B.Com,19,1784003
Production support,Bengaluru,Male,B.Tech/B.E.,14,1958127
QA Automation Grafana,Chennai,Male,B.Tech/B.E.,22,2333339
GCP Admin,Noida,Male,B.A,9,1582615
GCP Admin,Mumbai,Male,BCA,14,876610
"IICS, Technical Architect",New Delhi,Female,BCA,17,729320
Cloud security,Visakhapatnam,Male,B.Tech/B.E.,14,1373652
GCP DATA Engineer,Mohali,Male,BCA,9,759578
Cloud security,Bengaluru,Female,B.Sc,11,1274728
Bigdata Eng with GCP,Kolkata,Male,B.Tech/B.E.,28,2146475
DevSecOps Engineer,Bengaluru,Male,B.Tech/B.E.,11,2229168
Maths Teacher,Kanpur,Female,B.Sc,21,1534355
DevSecOps Engineer,Bengaluru,Male,B.Com,25,1704611
C and Linux,Gurugram,Female,B.Tech/B.E.,21,2271570
DevSecOps Engineer,Lucknow,Male,B.Tech/B.E.,28,1228970
BA+ Manual Testing,Gurugram,Female,B.A,18,1351798
QA Automation Grafana,Nagpur,Male,BCA,17,2295410
Maths Teacher,Bengaluru,Female,B.Tech/B.E.,13,1185117
Mainfrme Nasco,Nagpur,Male,B.B.A/ B.M.S,5,1920222
Production support,Pune,Male,B.A,26,1861289
IOS Developer,New Delhi,Female,B.A,26,1774321
Bigdata Eng with GCP,New Delhi,Female,NA,27,2494639
DevSecOps Engineer,Mumbai,Female,B.Sc,10,1442922
IICS Data Engineer,Noida,Female,B.Com,21,738479
GCP Admin,Noida,Male,B.Tech/B.E.,8,1615125
"IICS, Advisor Data Engineer",Patna,Male,Diploma,5,2461441
AWS solution Architect,Bengaluru,Female,B.A,20,1473427
GCP DATA Engineer,Kurnool,Male,B.A,17,1756329
GCP DATA Engineer,work from home banglore - Karnataka,Male,B.Tech/B.E.,20,1604586
Bigdata Eng with GCP,Hyderabad,Female,BCA,26,2164568
Maths Teacher,Hyderabad,Female,B.Tech/B.E.,16,1057852
GCP Admin,Noida,Male,B.A,13,1738139
Bigdata Eng with GCP,Noida,Male,B.Tech/B.E.,6,2472243
GCP Admin,Noida,Female,B.Tech/B.E.,15,608673
AWS Architect,New Delhi,Male,B.Tech/B.E.,19,1379176
AWS Architect - (All cloud),Dehli - Delhi,Male,B.Tech/B.E.,11,1058927
Basic/Advanced Maths Teacher,Hyderabad,Female,B.Tech/B.E.,24,2239406
"IICS, Lead Technology Analyst",Noida,Male,B.Tech/B.E.,16,1338312
IICS Data Engineer,Dhanbad,Female,B.Tech/B.E.,9,2484937
"Data Engineer, Technical Lead",New Delhi,Female,B.Com,5,981460
"IICS, Associate Architect",New Delhi,Female,B.Tech/B.E.,23,761949
"C and Linux, Software Architect",Bengaluru,Male,B.Com,6,956619
AML Triage Analyst,Pune,Male,B.Sc,19,2238525
Maths Teacher,New Delhi,Male,B.Sc,7,843107
GCP Admin,Bengaluru,Female,BCA,19,539195
RPA Developer,Ghaziabad,Male,B.Tech/B.E.,12,620186
collibra,Mohali,Male,B.Sc,28,2188637
Collibra,Faridabad,Male,NA,9,1744609
collibra,New Delhi,Male,B.Tech/B.E.,10,2289509
Research Analyst,Hyderabad,Male,B.Tech/B.E.,28,1114015
Computer Vision,New Delhi,Male,BCA,27,1874320
collibra,Noida,Male,B.A,23,1088249
Computer Vision,Chennai,Male,B.B.A/ B.M.S,27,2298991
Maths Teacher,New Delhi,Female,B.Tech/B.E.,24,1723458
GCP DATA Engineer,New Delhi,Female,B.A,20,1749017
HR DATA BA,Dehradun,Male,B.Tech/B.E.,24,1400484
"Business Analyst - Banking, & payment sectors",Bengaluru,Male,B.A,15,952427
Mendix,Noida,Male,Diploma,27,1200057
Maths Teacher,New Delhi,Male,B.Com,18,1696787
Maths Teacher,Kolkata,Male,B.Tech/B.E.,9,2228288
Maths Teacher,Erode,Female,BCA,5,728662
Maths Teacher,New Delhi,Male,B.Tech/B.E.,6,1496339
Maths Teacher,New Delhi,Female,B.Tech/B.E.,9,1150730
Maths Teacher,New Delhi,Female,B.Tech/B.E.,26,2153836
RPA Developer,Kolkata,Female,B.Sc,7,1359374
collibra,New Delhi,Male,B.Tech/B.E.,14,1849579
collibra,New Delhi,Male,B.Tech/B.E.,12,1618018
GCP ADMIN,Noida,Male,B.Tech/B.E.,18,1266073
Senior Business Analyst-TDX,New Delhi,Male,B.Sc,20,931490
Senior Business Analyst,New Delhi,Female,BCA,24,2302488
Computer Vision,New Delhi,Male,B.Com,15,1525582
Computer Vision,Mumbai,Male,B.Tech/B.E.,15,1658536
Data Engineer,New Delhi,Male,B.Com,17,1040125
Mainframe Support,Chennai,Male,BCA,20,974489
Computer Vision,New Delhi,Female,B.B.A/ B.M.S,13,1044406
Research Analyst,Hyderabad,Female,B.Tech/B.E.,7,1773029
middleware/ soution architect,Hyderabad,Female,BCA,8,2312414
C & Linux,Hyderabad,Male,B.Tech/B.E.,9,999676
Computer Vision,New Delhi,Male,B.Com,8,1736696
Computer Vision,Pune,Male,B.Com,25,777542
"Cloud Architect -(AWS, Azure, GCP) , Snowflake",Bengaluru,Female,B.Tech/B.E.,8,2415231
Computer Vision,New Delhi,Female,B.Tech/B.E.,22,1092871
Computer Vision,Bengaluru,Male,B.Tech/B.E.,13,560864
cloud architect + other roles as well,New Delhi,Male,B.Tech/B.E.,8,1182651
BA+ Manual Testing,Kolkata,Male,B.Tech/B.E.,12,2251012
solution architect,New Delhi,Male,B.Sc,17,2261326
Research Analyst,Meerut,Male,B.Tech/B.E.,19,2050386
Senior Business Analyst-TDX,New Delhi,Male,B.A,17,1761913
C & Linux,Kolkata,Male,B.Com,20,680345
Maths Teacher,New Delhi,Male,B.Sc,23,1156394
Maths Teacher,Pune,Female,B.Sc,22,872683
Maths Teacher,Noida,Male,B.Com,14,605550
Python Backend Developer,New Delhi,Male,B.A,20,2146666
ba /collibra user (available for today's interview as well),Bhubaneswar,Female,B.Sc,8,2344339
BA+ Manual Testing,New Delhi,Male,B.Sc,13,2407124
C & Linux,New Delhi,Male,B.Com,24,573623
solution architect,New Delhi,Female,B.Tech/B.E.,27,1080081
Senior Business Analyst-TDX,Noida,Female,B.A,11,1937887
Research Analyst,Hyderabad,Male,B.Sc,11,1671819
Mainframe Support,Chennai,Male,B.Tech/B.E.,12,657488
mainframe development,Rudrpur - Uttarakhand,Male,B.Tech/B.E.,19,1953609
Mainframe Support,Kolkata,Male,B.Tech/B.E.,15,874555
collection manager,Hyderabad,Female,B.Sc,23,2472429
Mainframe Support,Bengaluru,Male,BCA,8,611230
Research Analyst,Bengaluru,Male,B.Tech/B.E.,19,1940683
Computer Vision,Hyderabad,Male,B.Tech/B.E.,18,1054472
Mainframe Support,Bengaluru,Female,B.A,27,1280012
Computer Vision,Noida,Male,B.Tech/B.E.,20,1083760
Research Analyst,Noida,Male,B.Tech/B.E.,15,1556616
Senior Business Analyst-TDX,Hyderabad,Female,B.Tech/B.E.,14,1776173
Research Analyst,Mumbai,Male,B.Tech/B.E.,10,1670844
Research Analyst,New Delhi,Male,B.Com,8,2143458
Research Analyst,Mumbai,Female,B.Tech/B.E.,15,742252
Mainframe Support,Gurugram,Male,B.Sc,19,2284084
Research Analyst,Pune,Male,B.Sc,6,906763
Research Analyst,Mumbai,Male,B.Sc,7,1962112
Senior Business Analyst-TDX,New Delhi,Male,BCA,26,2448838
Azure cloud Architect,Hyderabad,Male,B.Sc,10,972370
This mail id already exists in our system,New Delhi,Female,B.A,15,933075
Senior Business Analyst-TDX,Gurugram,Male,B.Tech/B.E.,27,700283
Research Analyst,Kanpur,Male,B.Tech/B.E.,21,1704574
Research Analyst,Noida,Male,B.Com,26,861699
Research Analyst,New Delhi,Male,BCA,14,911243
Research Analyst,Dehradun,Male,B.Tech/B.E.,26,2493643
Research Analyst,New Delhi,Male,BTECH,22,1264893
Research Analyst,New Delhi,Male,BCA,25,1887236
Research Analyst,Pune,Male,B.A,5,1046681
Research Analyst,Noida,Male,B.Tech/B.E.,26,706408
Research Analyst,Bengaluru,Female,B.Tech/B.E.,12,2051347
Research Analyst,New Delhi,Male,B.B.A/ B.M.S,21,916646
Research Analyst,Pune,Female,B.Com,9,792965
Research Analyst,Hyderabad,Female,BCA,7,2211935
Research Analyst,Pune,Male,B.Sc,22,1330383
Research Analyst,New Delhi,Male,B.Com,8,2220929
Research Analyst,New Delhi,Male,B.A,16,873062
Research Analyst,Kolkata,Male,B.B.A/ B.M.S,28,2336208
Research Analyst,Pune,Male,B.Sc,5,1689802
Research Analyst,Nagpur,Female,B.Tech/B.E.,14,693233
Research Analyst,Bengaluru,Female,NA,6,886268
Research Analyst,Lucknow,Male,B.Sc,15,1020675
BA+ Manual Testing,Pune,Female,B.Sc,16,1544108
"IICS Developer, Assistant Consultant",Faridabad,Female,B.A,15,1469367
High Touch Operations,New Delhi,Female,B.Tech/B.E.,10,2466898
High Touch Operations,Pune,Male,B.Tech/B.E.,7,757260
BA TDX,New Delhi,Male,B.Sc,23,835362
research analyst,Bengaluru,Male,Diploma,23,2304052
Mainframe Support,Dehradun,Male,HSC,24,1576694
Research Analyst,New Delhi,Male,B.Tech/B.E.,28,1926061
Research Analyst,New Delhi,Female,B.Tech/B.E.,26,1176034
Research Analyst,Chennai,Female,BCA,20,2096170
Research Analyst,New Delhi,Female,B.Tech/B.E.,17,956878
Research Analyst,Bengaluru,Female,B.Tech/B.E.,17,1597011
Research Analyst,Jalgaon,Male,BCA,6,1851148
Research Analyst,Bengaluru,Female,NA,23,2093814
Research Analyst,Pune,Female,B.A,23,1486214
Research Analyst,Pune,Female,B.Com,6,1371778
production middleware,Mumbai,Male,B.Tech/B.E.,26,1666247
Research Analyst,Ghaziabad,Female,BCA,11,784232
production middleware,New Delhi,Male,BCA,14,954297
Research Analyst,Bengaluru,Male,B.Tech/B.E.,9,634632
Research Analyst,Pune,Female,Diploma,28,1530077
Research Analyst,Chennai,Male,B.Com,26,1981053
Research Analyst,Gurugram,Female,Diploma,6,807829
Research Analyst,Hyderabad,Male,BCA,22,1020686
Research Analyst,Pune,Male,B.Tech/B.E.,22,658858
Research Analyst,Pune,Male,BCA,10,847899
Production support,vishakapatnam - Andhra Pradesh,Male,B.Sc,25,1981243
Mainframe Support,Chennai,Male,B.Tech/B.E.,25,1706155
Mainframe Nasco,Chennai,Female,B.Sc,9,692845
Research Analyst,Chennai,Male,B.Com,8,1629444
Data Science,Bengaluru,Female,B.Tech/B.E.,22,1796718
Mainframe Nasco,Pune,Female,B.Tech/B.E.,13,761393
Research Analyst,Pune,Male,B.A,25,1366328
Mainframe Nasco,Mumbai,Male,B.Sc,15,617839
Research Analyst,Pune,Female,BCA,5,2175627
AWS Cloud Architect,Mumbai,Male,B.Com,19,1565085
Research Analyst,New Delhi,Male,B.Tech/B.E.,23,810072
Research Analyst,Noida,Female,B.Com,18,2291449
AWS solution Architect,Ahemdabad - Gujarat,Female,Diploma,8,712496
Research Analyst,Noida,Female,BCA,18,1988780
Research Analyst,Noida,Female,B.Tech/B.E.,8,2081173
Research Analyst,Patna,Male,B.A,19,1270377
production middleware,Bengaluru,Male,B.A,24,836370
Azure/devops,Lucknow,Male,B.A,7,1470643
production middleware,Mumbai,Female,B.Tech/B.E.,23,1127357
ServiceNow DeveloperSAM,Noida,Male,BCA,13,2101295
Computer Vision,Ghaziabad,Female,B.Sc,6,911834
Computer Vision,Pune,Male,B.Tech/B.E.,26,1313398
Mendix,Navi Mumbai,Male,BCA,8,517722
Research Anlyst,Noida,Male,B.Com,17,1734881
Research Analyst,Pune,Male,B.Com,6,1472710
Senior Identity Engineer,Nagpur,Male,B.Tech/B.E.,27,1244818
Oracle webcenter,Hyderabad,Male,B.Tech/B.E.,28,1016415
DevSecOps Engineer,Noida,Female,B.Com,15,831303
IOS Developer,Chennai,Female,B.B.A/ B.M.S,17,1205201
SAP ATTP,New Delhi,Female,BCA,19,1930000
Research Analyst,Visakhapatnam,Female,B.Tech/B.E.,26,1370526
RPA Developer,Bengaluru,Male,BCA,5,2275649
Senior Identity Engineer,Bengaluru,Female,B.B.A/ B.M.S,28,2460468
Research Analyst,Hyderabad,Male,B.Tech/B.E.,5,1741835
Research Analyst,Noida,Female,B.Tech/B.E.,13,812315
Research Analyst,Gurugram,Male,B.Com,5,969223
Maths Teacher,"Fazilka , Punjab - Punjab",Male,B.Sc,16,2343680
Maths Teacher,Coimbatore,Male,B.Com,27,2052237
Maths Teacher,Indore,Female,B.Com,21,2230434
Maths Teacher,Hyderabad,Male,B.Tech/B.E.,7,764319
Maths Teacher,Noida,Male,BCA,22,1199944
Research Analyst,"Cuttack, Odisha - Odisha",Female,B.Tech/B.E.,17,2011198
Research Analyst,New Delhi,Male,B.Tech/B.E.,17,1261536
Research Analyst,Hyderabad,Male,B.Tech/B.E.,26,1867161
High Touch Operations,Kanpur,Male,B.Com,16,1085987
HR DATA BA,Navi Mumbai,Male,B.Tech/B.E.,18,1597996
data analys/collibra,Bhubaneswar,Female,B.Tech/B.E.,25,927292
Research Analyst,New Delhi,Male,B.Com,12,1943936
Maths Teacher,Pune,Male,B.Com,19,2222999
IBM API,Chennai,Male,B.Tech/B.E.,16,820219
Research Analyst,Ayodhya - Uttar Pradesh,Male,BCA,6,941954
Research Analyst,Hyderabad,Male,B.Tech/B.E.,12,560901
Research Analyst,Hubli,Female,B.B.A/ B.M.S,14,2005429
Research Analyst,Gurugram,Male,B.Com,17,1940288
RPA Developer,Mumbai,Male,B.Sc,25,665523
Research Analyst,Bengaluru,Female,B.Tech/B.E.,15,1273831
Maths Teacher,Patna,Male,BCA,6,1956635
Maths Teacher,Pune,Female,NA,21,2405298
Maths Teacher,Pune,Male,B.Tech/B.E.,10,2384623
Maths Teacher,Hyderabad,Male,B.B.A/ B.M.S,27,1351463
Maths Teacher,Nagaur,Male,B.Tech/B.E.,15,1889017
GCP Admin,New Delhi,Female,B.Tech/B.E.,17,898555
Maths Teacher,Lucknow,Male,B.Sc,26,2406894
Maths Teacher,Noida,Female,BCA,6,1633451
Research analyst,Chennai,Female,B.A,20,2156546
Data Engineer,New Delhi,Female,B.Tech/B.E.,12,600947
Research analyst,Dhanbad,Male,B.Sc,16,1394059
Mainframe Nasco,New Delhi,Female,B.Tech/B.E.,10,614744
Research Analyst,New Delhi,Male,B.Tech/B.E.,28,1072169
Collibra,Bengaluru,Male,BCA,6,1669790
Research analyst,Pune,Female,B.Sc,11,1137834
MATH,New Delhi,Male,B.Tech/B.E.,19,1956643
Servicenow Developer SAM,Bengaluru,Male,BCA,23,2053667
Research analyst,Ghaziabad,Male,NA,12,1144331
C+Linux,Mohali,Male,B.Tech/B.E.,16,743499
C+ Linux,Faridabad,Male,B.Com,12,2017348
